Form_id,TextListLen,TableIndex,SumDivider,JsonTable,ValueColumn,CCP,LTD
185,1,0,1000,1,0,106.097,732.757
186,1,0,1000,1,0,75.256,981.417
187,1,0,1000,1,0,84.924,982.283
188,1,0,1000,1,0,88.115,982.617
189,1,0,1000,1,0,80.209,1012.828
190,1,0,1,1,0,13663.0,37507.0
191,1,0,1,1,0,15435.0,36256.0
192,1,0,1,1,0,15694.0,36797.0
193,1,0,1,1,0,14295.0,36945.0
194,2,1,1,1,0,11631.0,36776.0
195,1,0,1,1,0,13220.0,36191.0
196,1,0,1,1,0,11619.0,37543.0
197,1,0,1,1,0,10356.0,38091.0
198,2,1,1,1,0,12625.0,39454.0
199,1,0,1,1,0,14869.0,39842.0
200,1,0,1,1,0,13042.0,40141.0
201,1,0,1,1,0,12589.0,43050.0
202,2,1,1,1,0,10914.0,40610.0
203,1,0,1,1,0,21128.0,47010.0
204,1,0,1,1,0,19816.0,42910.0
205,1,0,1,1,0,17666.0,36736.0
206,2,1,1,1,0,11175.0,31769.0
207,1,0,1,1,0,12988.0,31504.0
208,1,0,1,1,0,13361.0,32045.0
209,1,0,1,1,0,11948.0,32697.0
210,1,0,1,1,0,15964.0,30361.0
211,1,0,1,1,0,8077.0,34917.0
212,1,0,1,1,0,6151.0,35284.0
213,1,0,1,1,0,3133.0,34008.0
214,1,0,1,1,0,3482.0,35257.0
215,1,0,1,1,0,8524.0,34488.0
216,1,0,1,1,0,2919.0,29160.0
217,1,0,1,1,0,1888.0,30260.0
218,1,0,1,1,0,2752.0,33255.0
219,1,0,1,1,0,4477.0,34870.0
220,1,0,1,1,0,12027.0,21707.0
221,1,0,1,1,0,7023.0,18777.0
222,1,0,1,1,0,5583.0,18645.0
223,1,0,1,1,0,10325.0,21735.0
224,1,0,1,1,0,7540.0,21093.0
225,1,0,1,1,0,5818.0,21313.0
226,1,0,1,1,0,2981.0,19969.0
227,1,0,1,1,0,2399.0,17752.0
228,1,0,1,1,0,1273.0,17053.0
229,1,0,1,1,0,2288.0,19040.0
230,1,0,1,1,0,1106.0,18148.0
231,1,0,1,1,0,2103.0,18990.0
232,2,0,1,1,0,6072.0,22264.0
233,2,0,1,1,0,7278.0,21125.0
234,2,0,1,1,0,7883.0,20763.0
235,2,0,1,1,0,9398.0,22188.0
236,2,0,1,1,0,7595.0,19662.0
237,3,0,1,1,0,11376.0,20350.0
238,3,0,1,1,0,12071.0,20576.0
239,4,0,1,1,0,12545.0,21881.0
240,3,0,1,1,0,10593.0,21915.0
241,3,0,1,1,0,10560.0,22106.0
242,3,0,1,1,0,9954.0,22591.0
243,3,0,1,1,0,8082.0,23727.0
244,3,0,1,1,0,6316.0,24654.0
245,3,0,1,1,0,9241.0,25718.0
246,3,0,1,1,0,9216.0,26948.0
247,3,0,1,1,0,9460.0,28601.0
248,3,0,1,1,0,5741.0,25238.0
249,3,0,1,1,0,4538.0,23901.0
250,3,0,1,1,0,4797.0,23379.0
251,3,0,1,1,0,5111.0,23166.0
252,2,0,1,1,0,5035.0,22736.0
