id,FormName,CIK,ValueDate,FilingDate,FormURL,ReportQuarter
134,cop-20220331,1163165,2022-03-31,2022-05-05,https://www.sec.gov/Archives/edgar/data/0001163165/000116316522000006/cop-20220331.htm,2022-01-01
135,cop10k2021,1163165,2021-12-31,2022-02-17,https://www.sec.gov/Archives/edgar/data/0001163165/000156276222000031/cop10k2021.htm,2021-10-01
136,cop20213q10q,1163165,2021-09-30,2021-11-04,https://www.sec.gov/Archives/edgar/data/0001163165/000156276221000409/cop20213q10q.htm,2021-07-01
137,cop20212q10q,1163165,2021-06-30,2021-08-05,https://www.sec.gov/Archives/edgar/data/0001163165/000156276221000304/cop20212q10q.htm,2021-04-01
138,COP20211q10q,1163165,2021-03-31,2021-05-06,https://www.sec.gov/Archives/edgar/data/0001163165/000156276221000193/COP20211q10q.htm,2021-01-01
139,cop10k2020,1163165,2020-12-31,2021-02-16,https://www.sec.gov/Archives/edgar/data/0001163165/000156276221000027/cop10k2020.htm,2020-10-01
140,COP20203q10q,1163165,2020-09-30,2020-11-03,https://www.sec.gov/Archives/edgar/data/0001163165/000156276220000367/COP20203q10q.htm,2020-07-01
141,COP20202q10q,1163165,2020-06-30,2020-08-04,https://www.sec.gov/Archives/edgar/data/0001163165/000156276220000267/COP20202q10q.htm,2020-04-01
142,cop-20200331,1163165,2020-03-31,2020-05-05,https://www.sec.gov/Archives/edgar/data/0001163165/000156276220000162/cop-20200331.htm,2020-01-01
143,d875559d10k,1163165,2019-12-31,2020-02-18,https://www.sec.gov/Archives/edgar/data/0001163165/000119312520039954/d875559d10k.htm,2019-10-01
144,d824956d10q,1163165,2019-09-30,2019-10-31,https://www.sec.gov/Archives/edgar/data/0001163165/000119312519279997/d824956d10q.htm,2019-07-01
145,d775509d10q,1163165,2019-06-30,2019-08-01,https://www.sec.gov/Archives/edgar/data/0001163165/000119312519210077/d775509d10q.htm,2019-04-01
